Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
52,Call of Duty 2022,PS4,2017.0,Racing,Sony Computer Entertainment,1.9,2.39,0.39,0.24,4.92
53,FIFA Soccer 2024,Switch,2020.0,Racing,Electronic Arts,1.83,3.49,0.05,0.23,5.6
54,Pokemon 2022,Switch,2023.0,Action,Activision,0.59,0.26,0.02,0.5,1.37
55,Minecraft 2024,Switch,2019.0,Adventure,Ubisoft,3.19,1.52,0.09,0.15,4.95
56,Grand Theft Auto V,PS4,2022.0,Action,Activision,0.02,0.55,0.19,0.45,1.21
57,Red Dead Redemption Origins,PC,2023.0,Platform,Nintendo,0.98,0.52,0.16,0.38,2.04
58,Halo V,PS3,2020.0,Role-Playing,Activision,1.03,0.81,0.24,0.02,2.1
59,Call of Duty Ultra,X360,2021.0,Role-Playing,Take-Two Interactive,0.82,0.96,0.48,0.15,2.41
60,Grand Theft Auto Ultra,Switch,2019.0,Sports,Take-Two Interactive,0.47,0.19,0.26,0.1,1.02
61,Pokemon V,PS3,2022.0,Role-Playing,Sony Computer Entertainment,0.58,1.66,0.22,0.9,3.36
62,The Legend of Zelda Origins,PS5,2020.0,Role-Playing,Activision,0.1,0.1,0.19,0.06,0.45
63,Pokemon 2022,PS5,2020.0,Action,Electronic Arts,0.09,1.65,0.76,0.02,2.52
64,Call of Duty 2024,Switch,2021.0,Role-Playing,Take-Two Interactive,0.83,1.02,0.02,0.04,1.91
65,Halo V,XOne,2016.0,Adventure,Sony Computer Entertainment,0.65,0.61,0.08,0.08,1.42
66,God of War 2022,X360,2023.0,Platform,Activision,2.43,0.72,0.34,0.39,3.88
67,Minecraft 2023,X360,2017.0,Action,Sony Computer Entertainment,0.52,0.33,0.69,0.23,1.77
68,Minecraft Origins,PS4,2020.0,Action,Ubisoft,0.28,0.36,0.2,0.48,1.32
69,Cyberpunk Infinite,PS4,2017.0,Adventure,Nintendo,0.02,0.96,1.77,0.57,3.32
70,Minecraft V,PS4,2017.0,Platform,Take-Two Interactive,1.89,1.01,0.23,0.16,3.29
71,Forza Horizon V,XSX,2015.0,Shooter,Sony Computer Entertainment,1.47,0.6,0.37,0.37,2.81
72,Grand Theft Auto Origins,XOne,2020.0,Shooter,Electronic Arts,0.45,0.12,0.02,1.15,1.74
73,Call of Duty Infinite,Switch,2023.0,Action,Electronic Arts,1.0,0.51,0.16,0.11,1.78
74,Red Dead Redemption 2023,PC,2023.0,Racing,Nintendo,0.25,0.38,0.78,0.32,1.73
75,Pokemon 2022,Switch,2017.0,Platform,Sony Computer Entertainment,0.2,1.35,0.33,0.19,2.07
76,God of War 2023,PS3,2017.0,Adventure,Take-Two Interactive,1.08,0.62,0.17,0.22,2.09
77,FIFA Soccer V,Switch,2020.0,Shooter,Nintendo,3.09,0.79,0.12,0.04,4.04
78,Grand Theft Auto V,X360,2020.0,Shooter,Sony Computer Entertainment,1.54,0.98,0.45,0.04,3.01
79,The Legend of Zelda 2024,PS5,2020.0,Action,Take-Two Interactive,0.85,0.38,0.18,0.23,1.64
80,Grand Theft Auto Remastered,Switch,2017.0,Sports,Nintendo,1.3,0.63,0.09,0.11,2.13
81,Minecraft V,PS3,2022.0,Adventure,Activision,0.78,0.76,0.01,0.51,2.06
82,Grand Theft Auto Origins,PS3,2015.0,Racing,Activision,0.94,0.75,0.17,0.33,2.19
83,Halo 2022,PC,2018.0,Racing,Ubisoft,0.15,2.03,0.61,0.18,2.97
84,God of War Origins,PS4,2023.0,Sports,Sony Computer Entertainment,0.01,0.32,0.15,0.19,0.67
85,FIFA Soccer 2024,PS5,2017.0,Shooter,Electronic Arts,0.31,0.69,0.05,0.01,1.06
86,Pokemon V,PS5,2019.0,Role-Playing,Activision,0.8,2.97,0.18,0.2,4.15
87,Cyberpunk 2022,X360,2021.0,Action,Ubisoft,0.61,1.29,0.13,0.16,2.19
88,Cyberpunk 2024,PS5,2017.0,Action,Take-Two Interactive,0.66,0.59,0.17,0.13,1.55
89,Call of Duty Ultra,Switch,2017.0,Adventure,Nintendo,1.14,0.42,0.01,0.04,1.61
90,Call of Duty 2022,X360,2022.0,Shooter,Nintendo,0.12,1.29,0.06,0.26,1.73
91,Cyberpunk V,PS3,2018.0,Platform,Nintendo,3.18,0.12,0.16,0.1,3.56
92,Call of Duty Infinite,Switch,2017.0,Shooter,Ubisoft,0.96,0.44,0.67,0.43,2.5
93,FIFA Soccer 2024,X360,2018.0,Adventure,Sony Computer Entertainment,1.08,0.42,0.24,0.14,1.88
94,Minecraft Remastered,PS3,2022.0,Action,Activision,4.65,0.51,0.06,0.17,5.39
95,FIFA Soccer Origins,PS4,2020.0,Adventure,Electronic Arts,1.14,0.44,0.04,0.58,2.2
96,Minecraft 2023,PS3,2018.0,Racing,Activision,0.76,0.06,0.16,0.17,1.15
97,Minecraft Origins,XOne,2022.0,Action,Take-Two Interactive,0.32,0.8,0.2,0.21,1.53
98,Forza Horizon V,PS3,2020.0,Sports,Sony Computer Entertainment,1.47,0.07,0.28,0.07,1.89
99,Grand Theft Auto 2022,XOne,2020.0,Adventure,Nintendo,0.71,0.87,0.83,0.33,2.74
100,Grand Theft Auto 2024,XOne,2015.0,Role-Playing,Nintendo,0.75,0.73,0.12,0.37,1.97
101,Call of Duty 2022,PS4,2022.0,Racing,Nintendo,0.63,0.23,0.51,0.4,1.77
102,FIFA Soccer Remastered,XOne,2015.0,Racing,Sony Computer Entertainment,0.16,2.4,0.18,0.05,2.79
103,Cyberpunk Infinite,Switch,2020.0,Action,Ubisoft,1.12,3.15,0.7,0.26,5.23
104,Forza Horizon Infinite,PS3,2021.0,Sports,Electronic Arts,0.89,0.51,0.11,0.03,1.54
105,Cyberpunk 2023,XOne,2016.0,Adventure,Ubisoft,1.5,0.05,0.18,0.18,1.91
106,Cyberpunk 2024,XSX,2016.0,Role-Playing,Ubisoft,2.38,0.6,0.17,0.13,3.28
107,Grand Theft Auto Origins,PC,2016.0,Action,Ubisoft,0.81,0.45,0.63,0.14,2.03
108,Pokemon Infinite,Switch,2017.0,Racing,Activision,0.08,0.01,0.02,0.02,0.13
109,Cyberpunk Remastered,X360,2023.0,Action,Activision,0.45,0.59,0.4,0.0,1.44
110,FIFA Soccer Remastered,PS5,2023.0,Platform,Ubisoft,0.36,1.93,0.01,0.03,2.33
111,Pokemon 2023,Switch,2020.0,Racing,Ubisoft,4.44,1.72,0.28,0.59,7.03
112,Grand Theft Auto 2024,PS3,2020.0,Role-Playing,Ubisoft,1.03,0.58,0.08,0.05,1.74
113,Mario Kart Ultra,PC,2020.0,Racing,Ubisoft,3.82,1.72,0.79,1.32,7.65
114,FIFA Soccer 2023,PC,2017.0,Action,Nintendo,0.28,0.2,0.23,0.22,0.93
115,God of War Ultra,XOne,2023.0,Shooter,Sony Computer Entertainment,0.05,1.53,0.01,0.1,1.69
116,FIFA Soccer Ultra,XSX,2022.0,Adventure,Take-Two Interactive,1.31,0.04,0.23,0.82,2.4
117,Call of Duty 2023,PS3,2017.0,Racing,Take-Two Interactive,1.92,0.34,0.34,0.21,2.81
118,Mario Kart Ultra,PS3,2023.0,Role-Playing,Electronic Arts,0.45,0.22,0.8,0.03,1.5
119,The Legend of Zelda 2024,Switch,2017.0,Sports,,2.32,0.0,0.51,0.06,2.89
120,FIFA Soccer V,Switch,2021.0,Racing,Sony Computer Entertainment,0.24,0.07,0.12,0.21,0.64
121,Cyberpunk Origins,XOne,2021.0,Platform,Nintendo,0.86,2.64,0.13,0.25,3.88
122,Grand Theft Auto Remastered,PS3,2018.0,Role-Playing,Activision,0.39,0.99,0.02,0.22,1.62
123,Pokemon 2023,PS5,2018.0,Platform,Ubisoft,1.15,0.72,0.15,0.02,2.04
124,Mario Kart 2024,PS5,2016.0,Adventure,Activision,0.35,4.68,0.17,0.15,5.35
125,Pokemon Remastered,PS3,2018.0,Sports,Take-Two Interactive,1.17,0.26,0.9,0.04,2.37
126,The Legend of Zelda 2024,XSX,2023.0,Platform,Nintendo,0.64,0.3,0.12,0.32,1.38
127,Call of Duty 2022,PS3,2022.0,Role-Playing,Activision,0.19,0.18,0.03,0.04,0.44
128,Halo 2024,Switch,2022.0,Role-Playing,Ubisoft,2.79,0.77,0.48,0.16,4.2
129,Red Dead Redemption Remastered,XSX,2023.0,Action,Take-Two Interactive,0.19,0.84,0.12,0.22,1.37
130,Call of Duty Ultra,Switch,2016.0,Sports,Take-Two Interactive,0.72,0.73,0.1,0.3,1.85
131,Cyberpunk 2024,PC,2015.0,Shooter,Electronic Arts,0.12,0.68,0.01,0.16,0.97
132,Cyberpunk Ultra,PS5,2016.0,Role-Playing,Electronic Arts,0.84,1.71,0.03,0.44,3.02
133,Minecraft Infinite,PS5,2016.0,Platform,Activision,1.9,0.03,0.33,0.76,3.02
134,God of War V,PS4,2016.0,Adventure,Electronic Arts,3.01,2.36,0.29,0.38,6.04
135,Pokemon Remastered,PS3,2020.0,Role-Playing,Take-Two Interactive,0.66,0.83,0.22,0.33,2.04
136,Halo Remastered,Switch,2017.0,Action,Ubisoft,0.27,2.98,0.12,0.05,3.42
137,Mario Kart Remastered,PS5,2017.0,Platform,Activision,0.29,4.49,1.1,0.26,6.14
138,Minecraft Infinite,X360,2015.0,Action,Sony Computer Entertainment,2.23,1.04,0.41,0.14,3.82
139,Grand Theft Auto Remastered,PS3,2017.0,Sports,Electronic Arts,0.95,0.46,0.39,0.17,1.97
140,Minecraft Infinite,PS5,2020.0,Shooter,Nintendo,0.49,0.39,0.19,0.45,1.52
141,Grand Theft Auto Ultra,PC,2016.0,Adventure,Activision,0.22,1.54,0.2,0.07,2.03
142,Cyberpunk Infinite,PS4,2021.0,Role-Playing,Activision,0.2,0.4,1.05,0.07,1.72
143,Cyberpunk Remastered,PS3,2021.0,Role-Playing,Ubisoft,0.67,0.22,0.02,0.05,0.96
144,God of War 2022,Switch,2015.0,Role-Playing,Nintendo,0.32,0.36,0.14,0.23,1.05
145,Call of Duty 2022,PS3,2020.0,Role-Playing,Sony Computer Entertainment,0.25,0.09,0.09,0.01,0.44
146,Call of Duty Infinite,XOne,2019.0,Platform,Ubisoft,0.1,0.09,0.26,0.29,0.74
147,Pokemon 2024,PC,2016.0,Sports,Electronic Arts,3.98,0.69,0.09,0.18,4.94
148,Halo Ultra,PC,2016.0,Racing,Sony Computer Entertainment,0.25,0.9,1.05,0.02,2.22
149,The Legend of Zelda Infinite,PC,2015.0,Adventure,Activision,2.0,2.31,0.34,0.17,4.82
150,Cyberpunk 2022,XSX,2018.0,Shooter,Electronic Arts,1.24,0.19,0.32,0.13,1.88
151,Red Dead Redemption 2023,PS5,2015.0,Platform,Electronic Arts,0.57,1.64,0.46,0.21,2.88
152,Minecraft V,XSX,2020.0,Platform,Nintendo,2.55,1.68,0.11,0.51,4.85
153,Halo 2022,Switch,2021.0,Adventure,Electronic Arts,0.91,0.38,0.24,0.23,1.76
154,Minecraft 2023,XOne,2016.0,Shooter,Take-Two Interactive,0.68,0.38,0.6,0.18,1.84
155,Forza Horizon 2022,XSX,2019.0,Racing,Activision,0.31,0.52,0.15,0.2,1.18
156,Pokemon Origins,Switch,2021.0,Adventure,Nintendo,2.5,0.06,0.93,0.27,3.76
157,Minecraft 2024,PS5,2018.0,Platform,Ubisoft,0.33,0.27,0.11,0.41,1.12
158,Grand Theft Auto V,PS5,2018.0,Sports,Electronic Arts,1.91,0.59,0.04,0.49,3.03
159,Cyberpunk 2022,PS5,2022.0,Racing,Activision,3.62,0.53,0.49,0.2,4.84
160,Pokemon Origins,X360,2019.0,Platform,Take-Two Interactive,2.37,0.21,0.07,0.24,2.89
161,Cyberpunk Ultra,PS3,2019.0,Action,Activision,0.4,1.05,0.57,0.28,2.3
162,Forza Horizon 2022,X360,,Sports,Ubisoft,1.47,1.59,0.07,0.03,3.16
163,Red Dead Redemption Infinite,PS3,2023.0,Shooter,Activision,0.55,0.72,0.21,1.1,2.58
164,Mario Kart 2023,PC,2015.0,Racing,Electronic Arts,0.02,0.33,0.51,0.23,1.09
165,Grand Theft Auto Ultra,Switch,2017.0,Action,Sony Computer Entertainment,0.56,0.37,0.13,0.24,1.3
166,Red Dead Redemption Origins,XSX,2022.0,Shooter,Ubisoft,2.33,0.84,0.23,0.1,3.5
167,Halo Remastered,PS5,2017.0,Platform,Electronic Arts,1.44,0.5,0.02,0.21,2.17
168,God of War Infinite,PS3,2023.0,Sports,Take-Two Interactive,1.9,0.0,0.11,0.99,3.0
169,Halo Remastered,XOne,2018.0,Platform,Ubisoft,2.88,0.62,0.55,0.18,4.23
170,Halo Ultra,PS4,2020.0,Racing,Sony Computer Entertainment,0.19,0.05,0.04,0.06,0.34
171,FIFA Soccer 2024,PS4,2017.0,Action,Electronic Arts,0.56,0.47,0.28,0.18,1.49
172,Minecraft Remastered,Switch,2015.0,Role-Playing,Activision,0.14,1.36,0.14,0.53,2.17
173,Halo Remastered,PC,2017.0,Action,Ubisoft,0.21,0.95,0.13,0.93,2.22
174,God of War Origins,PC,2015.0,Action,Sony Computer Entertainment,1.03,1.16,0.06,0.17,2.42
175,The Legend of Zelda 2023,PS3,2018.0,Racing,Activision,0.16,2.64,0.24,0.84,3.88
176,Grand Theft Auto 2023,Switch,2016.0,Role-Playing,Take-Two Interactive,1.16,0.13,0.02,0.38,1.69
177,Pokemon 2023,Switch,2021.0,Adventure,Electronic Arts,0.3,0.12,0.04,0.09,0.55
178,Red Dead Redemption 2022,XSX,2019.0,Role-Playing,Electronic Arts,1.05,0.29,0.29,0.19,1.82
179,Grand Theft Auto Infinite,PC,2021.0,Racing,Nintendo,0.82,0.53,0.06,0.12,1.53
180,Pokemon Origins,PC,2021.0,Platform,Ubisoft,0.16,0.61,0.07,0.0,0.84
181,FIFA Soccer Origins,Switch,2017.0,Role-Playing,Electronic Arts,0.34,0.83,0.21,0.08,1.46
182,FIFA Soccer Remastered,PS3,2022.0,Role-Playing,Activision,1.83,0.76,0.59,0.12,3.3
183,Call of Duty Ultra,PS4,2016.0,Action,Electronic Arts,0.63,0.24,0.55,0.01,1.43
184,Pokemon Infinite,PS5,2022.0,Shooter,Take-Two Interactive,0.28,1.76,0.18,0.54,2.76
185,Halo Origins,PS3,2021.0,Racing,Electronic Arts,1.39,0.06,0.02,0.0,1.47
186,Forza Horizon Infinite,PC,2018.0,Role-Playing,Nintendo,1.64,0.87,0.06,0.05,2.62
187,Cyberpunk Ultra,PS5,2015.0,Platform,Sony Computer Entertainment,0.39,1.17,0.29,0.12,1.97
188,Grand Theft Auto V,PS4,2021.0,Action,Electronic Arts,0.05,2.77,0.48,0.09,3.39
189,The Legend of Zelda Ultra,X360,2015.0,Role-Playing,Activision,2.9,0.2,0.14,0.14,3.38
190,Minecraft Remastered,PC,2017.0,Role-Playing,Ubisoft,2.4,0.83,0.1,0.42,3.75
191,God of War Infinite,PS5,2019.0,Racing,Ubisoft,4.22,1.1,0.24,0.05,5.61
192,Minecraft 2024,PS4,2016.0,Platform,Sony Computer Entertainment,0.13,0.92,0.03,0.84,1.92
193,Red Dead Redemption Origins,PC,2015.0,Shooter,Ubisoft,0.78,0.28,0.25,0.29,1.6
194,The Legend of Zelda Infinite,PS3,2022.0,Sports,Activision,0.31,1.04,1.44,0.03,2.82
195,Pokemon 2022,PS5,2021.0,Racing,Take-Two Interactive,1.05,0.93,0.14,0.19,2.31
196,Forza Horizon V,XSX,2023.0,Action,Take-Two Interactive,3.49,0.37,0.12,0.04,4.02
197,The Legend of Zelda 2023,XSX,2018.0,Adventure,Ubisoft,1.41,1.74,0.27,0.12,3.54
198,The Legend of Zelda 2023,PC,2023.0,Platform,Sony Computer Entertainment,0.54,0.41,0.62,0.18,1.75
199,Forza Horizon Infinite,XSX,2022.0,Role-Playing,Take-Two Interactive,1.24,1.31,0.09,0.44,3.08
200,Minecraft Ultra,Switch,2020.0,Role-Playing,Take-Two Interactive,0.26,1.39,0.22,0.12,1.99
201,Call of Duty 2023,X360,2023.0,Role-Playing,Electronic Arts,2.98,0.82,0.16,0.25,4.21
202,Minecraft Infinite,PC,2021.0,Role-Playing,Nintendo,0.93,0.71,0.06,0.11,1.81
203,Call of Duty V,PC,2020.0,Platform,Ubisoft,0.8,0.28,0.85,0.08,2.01
204,The Legend of Zelda Remastered,PS4,2019.0,Racing,Activision,1.35,0.8,0.02,0.59,2.76
205,Grand Theft Auto V,PS4,2023.0,Platform,Take-Two Interactive,1.53,0.86,0.94,0.02,3.35
206,Red Dead Redemption Infinite,XOne,2022.0,Adventure,Sony Computer Entertainment,4.05,0.37,0.17,0.47,5.06
207,Grand Theft Auto Ultra,XOne,2023.0,Role-Playing,Activision,0.47,0.3,0.44,0.02,1.23
208,Pokemon Remastered,PS3,2022.0,Adventure,Ubisoft,0.33,1.05,1.19,0.07,2.64
209,Cyberpunk 2022,XOne,2019.0,Shooter,Electronic Arts,1.03,0.34,0.04,0.04,1.45
210,Halo V,X360,2022.0,Action,Electronic Arts,0.13,1.57,0.38,0.02,2.1
211,Minecraft V,PC,2019.0,Sports,Electronic Arts,0.17,0.87,0.07,0.03,1.14
212,Halo V,XSX,2017.0,Adventure,Take-Two Interactive,0.06,1.23,0.07,0.07,1.43
213,Grand Theft Auto V,X360,2018.0,Racing,Take-Two Interactive,2.25,0.22,0.18,1.05,3.7
214,God of War Ultra,PC,2015.0,Shooter,Sony Computer Entertainment,0.55,1.28,0.14,0.15,2.12
215,The Legend of Zelda 2024,XOne,2022.0,Role-Playing,Activision,0.37,1.26,0.26,0.25,2.14
216,Cyberpunk 2023,PS5,2020.0,Role-Playing,Sony Computer Entertainment,1.73,0.3,0.58,0.59,3.2
217,Call of Duty Remastered,PS4,2019.0,Adventure,Ubisoft,0.64,0.76,0.03,0.54,1.97
218,Call of Duty Infinite,Switch,2019.0,Adventure,Ubisoft,1.42,0.31,1.75,0.98,4.46
219,The Legend of Zelda 2022,XOne,2023.0,Action,Sony Computer Entertainment,1.9,0.19,0.14,0.91,3.14
220,Minecraft 2023,PC,2023.0,Shooter,Sony Computer Entertainment,0.7,1.38,0.18,0.11,2.37
221,Red Dead Redemption V,PS5,2022.0,Racing,Sony Computer Entertainment,0.1,1.02,0.16,0.59,1.87
222,Pokemon 2022,X360,2019.0,Platform,Electronic Arts,1.8,1.48,0.09,0.01,3.38
223,Mario Kart Ultra,PS3,2023.0,Role-Playing,Take-Two Interactive,1.17,3.84,0.02,0.02,5.05
224,Minecraft Infinite,X360,2023.0,Racing,Nintendo,0.4,0.85,0.84,0.51,2.6
225,FIFA Soccer 2024,PS4,2021.0,Platform,Nintendo,0.2,0.4,0.14,0.06,0.8
226,Mario Kart V,X360,2018.0,Platform,Nintendo,0.02,0.44,0.01,0.85,1.32
227,Mario Kart 2024,PS5,2018.0,Shooter,Electronic Arts,4.41,0.78,0.25,0.25,5.69
228,Grand Theft Auto V,PS3,2018.0,Platform,Ubisoft,0.11,0.22,0.0,0.16,0.49
229,Mario Kart 2022,XOne,2023.0,Platform,Take-Two Interactive,0.05,1.87,0.57,0.28,2.77
230,Halo Ultra,Switch,2017.0,Platform,Electronic Arts,0.34,1.25,0.26,0.27,2.12
231,Red Dead Redemption 2022,Switch,2023.0,Racing,Electronic Arts,1.22,1.41,0.63,0.21,3.47
232,Red Dead Redemption V,XSX,2017.0,Platform,Electronic Arts,2.45,0.47,0.28,0.25,3.45
233,Grand Theft Auto Infinite,X360,2018.0,Role-Playing,Sony Computer Entertainment,0.53,0.54,0.32,0.75,2.14
234,Call of Duty Ultra,X360,2020.0,Platform,Take-Two Interactive,0.32,0.36,0.19,0.01,0.88
235,Call of Duty 2022,Switch,2017.0,Racing,,0.24,0.75,0.1,0.06,1.15
236,Call of Duty V,PS3,2015.0,Shooter,Sony Computer Entertainment,0.46,1.3,0.25,0.18,2.19
237,God of War Ultra,Switch,2015.0,Action,Electronic Arts,0.13,0.34,0.21,0.52,1.2
238,Mario Kart 2024,Switch,2015.0,Adventure,Take-Two Interactive,0.54,1.05,0.64,0.28,2.51
239,Call of Duty Origins,PS5,2019.0,Adventure,Sony Computer Entertainment,0.0,0.81,0.02,0.07,0.9
240,FIFA Soccer 2023,PS5,2015.0,Role-Playing,Take-Two Interactive,0.67,0.37,0.04,0.14,1.22
241,Forza Horizon 2024,X360,2023.0,Action,Activision,1.14,1.75,0.27,0.17,3.33
242,Halo Remastered,XOne,,Role-Playing,Take-Two Interactive,2.56,0.06,0.23,0.04,2.89
243,Mario Kart 2024,PS4,2019.0,Adventure,Ubisoft,0.14,0.65,0.13,0.33,1.25
244,Minecraft 2024,PS5,2021.0,Role-Playing,Nintendo,0.86,1.58,0.27,0.06,2.77
245,Red Dead Redemption Infinite,PS4,2023.0,Adventure,Nintendo,0.03,0.4,0.22,0.18,0.83
246,The Legend of Zelda Ultra,PS4,2017.0,Action,Sony Computer Entertainment,0.03,0.83,0.3,0.1,1.26
247,Call of Duty 2022,PC,2018.0,Racing,Activision,0.95,0.66,0.03,0.05,1.69
248,Cyberpunk 2024,XOne,2018.0,Shooter,Ubisoft,0.12,0.19,0.78,0.13,1.22
249,The Legend of Zelda V,PS5,2019.0,Racing,Activision,3.43,0.3,0.66,0.23,4.62
250,Pokemon Infinite,PC,2020.0,Role-Playing,Electronic Arts,0.86,0.13,0.24,0.2,1.43
251,Mario Kart 2024,PS5,2017.0,Sports,Ubisoft,0.21,0.57,0.34,0.07,1.19
252,Call of Duty Remastered,X360,2016.0,Racing,Nintendo,0.74,0.41,1.53,0.53,3.21
253,Forza Horizon 2024,Switch,2022.0,Adventure,Ubisoft,0.04,0.52,0.23,0.06,0.85
254,Pokemon V,Switch,2020.0,Adventure,Sony Computer Entertainment,0.15,1.25,0.04,0.4,1.84
255,Red Dead Redemption V,PS4,2018.0,Shooter,Nintendo,2.19,0.71,0.14,0.08,3.12
256,Pokemon 2024,PS3,2016.0,Action,Nintendo,1.42,1.8,0.18,0.15,3.55
257,Halo Origins,XOne,2022.0,Adventure,Electronic Arts,2.12,0.46,0.56,0.56,3.7
258,Pokemon Origins,Switch,2021.0,Adventure,Take-Two Interactive,0.02,0.52,0.35,0.32,1.21
