Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
57,Pokemon Origins,PS5,2023.0,Adventure,Ubisoft,1.19,0.41,0.72,0.25,2.57
58,Red Dead Redemption 2024,Switch,2022.0,Sports,Electronic Arts,0.35,0.27,0.09,0.48,1.19
59,The Legend of Zelda Remastered,XOne,2017.0,Racing,Activision,3.0,0.01,0.01,0.05,3.07
60,Cyberpunk 2023,PS4,2019.0,Platform,Nintendo,0.41,3.32,0.53,0.16,4.42
61,God of War V,PC,2018.0,Shooter,Sony Computer Entertainment,0.18,0.56,0.16,0.52,1.42
62,Mario Kart 2022,Switch,2017.0,Platform,Activision,1.28,1.26,0.26,0.6,3.4
63,Mario Kart 2024,PS3,2022.0,Shooter,Take-Two Interactive,0.66,0.23,0.47,0.25,1.61
64,Cyberpunk Remastered,PC,2020.0,Shooter,Nintendo,0.65,0.24,0.04,0.03,0.96
65,Mario Kart 2023,PS3,2018.0,Shooter,Take-Two Interactive,0.12,0.55,0.35,0.1,1.12
66,Minecraft Remastered,Switch,2019.0,Platform,Activision,0.24,0.29,0.01,0.25,0.79
67,Mario Kart 2023,XSX,2023.0,Platform,Nintendo,0.34,0.24,0.44,0.14,1.16
68,Call of Duty Ultra,XOne,2019.0,Shooter,Ubisoft,0.17,0.27,0.11,0.18,0.73
69,The Legend of Zelda Ultra,PS4,2022.0,Role-Playing,Sony Computer Entertainment,0.36,4.56,0.67,0.18,5.77
70,Forza Horizon 2022,XSX,2018.0,Racing,Take-Two Interactive,1.89,0.41,0.08,0.18,2.56
71,The Legend of Zelda Ultra,X360,2019.0,Platform,Electronic Arts,2.29,1.29,0.86,0.03,4.47
72,Pokemon 2024,PS3,2016.0,Racing,Take-Two Interactive,1.45,0.14,0.13,0.08,1.8
73,God of War 2023,XSX,2022.0,Racing,Nintendo,1.69,2.36,0.13,0.07,4.25
74,The Legend of Zelda 2023,XOne,2015.0,Shooter,Take-Two Interactive,4.17,1.48,0.06,0.59,6.3
75,Call of Duty 2024,XOne,2019.0,Racing,Electronic Arts,0.26,0.8,1.12,0.09,2.27
76,Pokemon 2022,PS4,2018.0,Shooter,Activision,2.33,0.31,0.15,0.13,2.92
77,Halo 2022,PS5,2023.0,Role-Playing,Ubisoft,1.99,0.14,0.58,0.29,3.0
78,Minecraft Origins,PS3,2017.0,Role-Playing,Sony Computer Entertainment,1.79,1.32,0.08,0.24,3.43
79,Forza Horizon Infinite,PS3,2022.0,Racing,Sony Computer Entertainment,0.75,0.66,0.32,0.64,2.37
80,Mario Kart 2024,PS4,2021.0,Adventure,Electronic Arts,0.84,1.67,0.73,0.08,3.32
81,The Legend of Zelda V,Switch,2022.0,Adventure,Electronic Arts,0.52,0.01,0.0,0.15,0.68
82,Forza Horizon 2024,XOne,2015.0,Shooter,Sony Computer Entertainment,0.41,0.01,0.03,0.09,0.54
83,Red Dead Redemption 2022,PC,2015.0,Action,Sony Computer Entertainment,0.07,0.29,0.68,0.26,1.3
84,Minecraft Origins,X360,2015.0,Racing,Activision,4.56,0.02,1.97,0.24,6.79
85,The Legend of Zelda 2023,XSX,2023.0,Adventure,Nintendo,1.19,6.07,0.09,0.21,7.56
86,Minecraft Ultra,PS3,2016.0,Platform,Take-Two Interactive,1.38,0.06,1.07,0.0,2.51
87,FIFA Soccer Origins,PC,2018.0,Role-Playing,Electronic Arts,2.4,0.27,0.17,0.11,2.95
88,The Legend of Zelda 2024,PS4,2019.0,Action,Activision,0.65,0.47,0.18,0.07,1.37
89,The Legend of Zelda Origins,Switch,2019.0,Adventure,Take-Two Interactive,1.29,1.72,0.07,0.63,3.71
90,Mario Kart 2022,PS4,2017.0,Sports,,0.38,0.76,0.49,0.57,2.2
91,Halo Remastered,PS3,2018.0,Racing,Sony Computer Entertainment,0.05,0.34,0.06,0.26,0.71
92,FIFA Soccer 2024,X360,2022.0,Platform,Ubisoft,0.8,1.07,0.24,0.66,2.77
93,Halo V,PS5,2017.0,Action,Take-Two Interactive,0.19,0.63,0.23,0.02,1.07
94,Pokemon Remastered,PS5,2015.0,Racing,Activision,0.27,0.23,0.2,0.85,1.55
95,Forza Horizon Remastered,Switch,2016.0,Role-Playing,Sony Computer Entertainment,4.95,2.38,0.02,0.68,8.03
96,Call of Duty 2024,XOne,2023.0,Action,Take-Two Interactive,0.04,0.72,0.06,0.11,0.93
97,FIFA Soccer Remastered,X360,2022.0,Racing,Take-Two Interactive,0.11,0.97,0.12,0.09,1.29
98,Call of Duty 2023,XSX,2019.0,Platform,Activision,1.7,1.71,0.55,0.22,4.18
99,Pokemon Remastered,PS5,2018.0,Action,Activision,0.75,1.39,0.15,0.03,2.32
100,Minecraft V,PS5,2017.0,Sports,Electronic Arts,0.27,0.26,0.24,0.04,0.81
101,Minecraft Remastered,PS3,2018.0,Shooter,Take-Two Interactive,0.48,1.25,0.21,0.03,1.97
102,Halo V,PC,2022.0,Sports,Ubisoft,0.23,1.92,0.22,0.39,2.76
103,God of War Origins,X360,2017.0,Sports,Sony Computer Entertainment,0.31,0.13,0.59,0.16,1.19
104,Pokemon 2022,PS5,2020.0,Action,Ubisoft,0.2,2.04,0.17,0.08,2.49
105,The Legend of Zelda 2024,PS3,2020.0,Shooter,Nintendo,0.29,4.17,0.94,0.46,5.86
106,Halo 2023,XOne,2020.0,Racing,Nintendo,0.02,0.46,0.01,0.17,0.66
107,Red Dead Redemption Infinite,PC,2021.0,Sports,Ubisoft,1.68,0.61,0.27,0.06,2.62
108,Forza Horizon Infinite,Switch,2019.0,Sports,Activision,0.24,0.82,0.51,0.21,1.78
109,God of War Ultra,PC,2015.0,Action,Take-Two Interactive,1.35,1.22,0.18,0.3,3.05
110,The Legend of Zelda Remastered,PS3,2021.0,Sports,Sony Computer Entertainment,0.71,0.32,0.38,0.02,1.43
111,Mario Kart 2023,PS5,2017.0,Sports,Take-Two Interactive,0.01,0.26,0.03,0.27,0.57
112,Forza Horizon 2024,XOne,2017.0,Role-Playing,Sony Computer Entertainment,0.84,1.32,0.46,0.06,2.68
113,Minecraft Ultra,PC,2022.0,Role-Playing,Electronic Arts,0.89,0.17,0.59,0.07,1.72
114,The Legend of Zelda V,Switch,2021.0,Shooter,Sony Computer Entertainment,0.2,1.01,0.44,0.16,1.81
115,The Legend of Zelda 2023,XSX,2020.0,Action,Activision,0.15,0.49,0.09,0.46,1.19
116,Mario Kart 2023,PS3,2019.0,Adventure,Nintendo,1.07,0.4,0.44,0.14,2.05
117,The Legend of Zelda Ultra,X360,2023.0,Sports,Take-Two Interactive,2.97,0.34,0.03,0.17,3.51
118,Red Dead Redemption 2024,PS5,2015.0,Platform,Electronic Arts,0.24,0.69,0.78,0.04,1.75
119,FIFA Soccer 2024,XOne,2019.0,Adventure,Take-Two Interactive,4.7,0.16,0.44,0.1,5.4
120,Mario Kart Infinite,X360,2021.0,Sports,Take-Two Interactive,0.04,0.42,0.03,0.59,1.08
121,God of War Remastered,PS5,2018.0,Role-Playing,Electronic Arts,1.15,0.03,0.0,0.02,1.2
122,God of War V,XSX,2015.0,Platform,Sony Computer Entertainment,2.99,0.32,0.04,0.07,3.42
123,FIFA Soccer V,PS4,2017.0,Role-Playing,Electronic Arts,1.48,0.79,1.29,0.19,3.75
124,Cyberpunk Ultra,XOne,2021.0,Sports,Ubisoft,1.59,0.02,0.21,0.08,1.9
125,The Legend of Zelda V,PC,,Adventure,Nintendo,2.35,0.68,0.15,0.11,3.29
126,Red Dead Redemption 2022,Switch,2019.0,Sports,Take-Two Interactive,0.06,0.13,0.47,0.11,0.77
127,Forza Horizon V,XSX,2015.0,Sports,Ubisoft,1.86,0.07,0.29,0.0,2.22
128,Forza Horizon Origins,XSX,2020.0,Adventure,Take-Two Interactive,2.24,0.53,0.12,0.04,2.93
129,God of War V,XSX,2021.0,Sports,Take-Two Interactive,0.01,0.45,0.07,0.6,1.13
130,FIFA Soccer 2022,XOne,2016.0,Platform,Take-Two Interactive,0.33,0.55,0.16,0.38,1.42
131,Cyberpunk 2023,PC,2019.0,Adventure,Take-Two Interactive,0.27,1.0,0.14,0.08,1.49
132,Red Dead Redemption V,PS3,2016.0,Sports,Nintendo,1.44,0.08,0.38,0.28,2.18
133,Grand Theft Auto 2022,X360,2019.0,Platform,Nintendo,2.92,0.34,0.99,0.6,4.85
134,Cyberpunk Infinite,PS4,2023.0,Platform,Nintendo,0.18,0.25,0.89,0.11,1.43
135,The Legend of Zelda 2022,PS3,2023.0,Action,Ubisoft,0.84,0.08,0.18,1.9,3.0
136,Red Dead Redemption 2022,PS4,2021.0,Adventure,Activision,3.36,0.39,0.46,0.24,4.45
137,Call of Duty Remastered,Switch,2022.0,Role-Playing,Ubisoft,0.11,0.45,0.04,0.61,1.21
138,Forza Horizon 2024,X360,2022.0,Sports,Sony Computer Entertainment,0.47,1.08,0.42,0.27,2.24
139,Call of Duty 2024,PC,2022.0,Sports,Activision,0.74,0.67,0.38,0.03,1.82
140,Pokemon 2023,XOne,2021.0,Shooter,Activision,1.53,1.48,0.19,0.12,3.32
141,Mario Kart Remastered,PS3,2020.0,Role-Playing,Sony Computer Entertainment,2.65,1.63,0.25,0.1,4.63
142,Halo 2022,XOne,2020.0,Platform,Electronic Arts,0.15,1.56,0.68,0.73,3.12
143,Halo Ultra,XSX,2017.0,Sports,Ubisoft,2.21,0.03,0.31,0.36,2.91
144,Grand Theft Auto 2022,PS3,2016.0,Platform,Nintendo,0.77,0.01,0.0,0.07,0.85
145,Forza Horizon 2024,PS3,2022.0,Adventure,Sony Computer Entertainment,0.01,0.03,0.36,0.08,0.48
146,God of War Origins,PS4,2015.0,Shooter,Activision,3.52,0.19,0.11,0.37,4.19
147,Call of Duty Remastered,PS4,2022.0,Shooter,Take-Two Interactive,0.7,0.1,0.14,0.01,0.95
148,Grand Theft Auto 2024,Switch,2018.0,Adventure,Ubisoft,0.82,0.52,0.18,0.37,1.89
149,God of War 2023,XSX,2016.0,Adventure,Ubisoft,0.29,0.13,0.32,0.29,1.03
150,Halo 2024,Switch,2020.0,Racing,Activision,0.1,0.33,0.04,0.19,0.66
151,Call of Duty 2023,PS5,2022.0,Action,Sony Computer Entertainment,0.76,0.03,0.28,0.31,1.38
152,Call of Duty Ultra,PS3,2023.0,Adventure,Sony Computer Entertainment,4.23,2.69,0.16,0.08,7.16
153,FIFA Soccer Remastered,X360,2021.0,Sports,Ubisoft,0.45,0.97,0.08,0.08,1.58
154,Call of Duty V,PS4,2021.0,Racing,Nintendo,0.03,0.78,0.09,0.28,1.18
155,The Legend of Zelda Ultra,XSX,2015.0,Shooter,Activision,1.26,0.83,0.0,0.49,2.58
156,Cyberpunk V,PS4,2022.0,Role-Playing,Activision,1.08,0.49,0.01,0.0,1.58
157,Cyberpunk Infinite,PS3,2020.0,Adventure,Activision,2.71,1.62,0.14,0.02,4.49
158,Cyberpunk 2022,XSX,2016.0,Role-Playing,Ubisoft,0.21,0.52,0.2,0.17,1.1
159,Minecraft Ultra,XOne,2023.0,Action,Electronic Arts,0.67,1.33,0.53,0.13,2.66
160,Call of Duty Remastered,X360,2022.0,Action,Activision,0.67,0.59,0.05,0.18,1.49
161,The Legend of Zelda Infinite,PS5,2022.0,Adventure,Activision,0.64,0.47,0.16,0.19,1.46
162,Halo Remastered,XOne,2023.0,Shooter,Sony Computer Entertainment,0.16,0.8,0.11,0.0,1.07
163,Pokemon Remastered,Switch,2017.0,Racing,Ubisoft,0.31,1.01,0.27,0.06,1.65
164,Grand Theft Auto 2022,PS3,2019.0,Shooter,Ubisoft,0.77,1.52,0.34,0.57,3.2
165,Minecraft Origins,Switch,2016.0,Role-Playing,Electronic Arts,0.38,0.27,0.08,0.52,1.25
166,FIFA Soccer 2022,PS4,2015.0,Shooter,Activision,0.33,0.57,0.12,0.49,1.51
167,Red Dead Redemption 2024,Switch,2023.0,Sports,Electronic Arts,0.35,0.63,0.07,0.16,1.21
168,God of War Remastered,PS5,2023.0,Racing,Nintendo,0.02,0.96,0.09,0.01,1.08
169,FIFA Soccer Infinite,PS3,2021.0,Platform,Take-Two Interactive,0.1,0.92,0.34,0.28,1.64
170,Mario Kart Remastered,X360,2017.0,Racing,Electronic Arts,4.26,0.07,0.77,0.16,5.26
171,Call of Duty V,XSX,2021.0,Sports,Activision,2.86,1.41,0.03,0.03,4.33
172,Minecraft Infinite,XOne,2020.0,Adventure,Take-Two Interactive,0.73,3.06,0.62,0.11,4.52
173,Pokemon Ultra,X360,,Shooter,Take-Two Interactive,0.09,1.0,0.0,0.01,1.1
174,Red Dead Redemption Remastered,PS5,2019.0,Action,Electronic Arts,0.24,0.39,0.85,0.14,1.62
175,Call of Duty Infinite,Switch,2015.0,Platform,Ubisoft,0.32,0.44,0.46,0.91,2.13
176,God of War Infinite,XSX,2022.0,Racing,Activision,0.45,0.03,0.05,0.62,1.15
177,Halo V,PC,2023.0,Platform,Activision,0.17,0.98,0.71,0.14,2.0
178,FIFA Soccer Ultra,XSX,2022.0,Action,Sony Computer Entertainment,0.7,0.31,0.29,0.26,1.56
179,Halo V,PC,2022.0,Shooter,Nintendo,0.53,0.32,0.18,0.11,1.14
180,The Legend of Zelda Remastered,X360,2023.0,Action,Take-Two Interactive,0.22,0.11,0.27,0.25,0.85
181,Mario Kart Remastered,PS5,2020.0,Action,Nintendo,2.18,1.79,0.06,0.03,4.06
182,Halo Origins,X360,2016.0,Action,Ubisoft,0.7,2.38,0.56,0.1,3.74
183,Cyberpunk Ultra,PS3,2023.0,Action,Take-Two Interactive,0.19,0.17,1.08,0.04,1.48
184,FIFA Soccer Ultra,X360,2015.0,Action,Sony Computer Entertainment,0.37,2.22,0.52,0.3,3.41
185,Pokemon V,XOne,2017.0,Adventure,Take-Two Interactive,1.01,0.32,0.46,0.46,2.25
186,FIFA Soccer Remastered,Switch,2023.0,Role-Playing,Sony Computer Entertainment,1.22,3.68,0.32,0.33,5.55
187,Grand Theft Auto Infinite,Switch,2020.0,Sports,Take-Two Interactive,3.97,0.25,0.38,0.13,4.73
188,God of War V,PS5,2021.0,Role-Playing,Nintendo,2.57,1.35,0.18,0.07,4.17
189,God of War Infinite,Switch,2019.0,Racing,Take-Two Interactive,4.02,1.94,0.05,0.12,6.13
190,Halo 2024,PS5,2022.0,Platform,Activision,1.26,0.19,0.19,0.6,2.24
191,Grand Theft Auto 2022,XOne,,Action,Nintendo,1.61,0.22,0.02,0.47,2.32
192,Forza Horizon Origins,PS5,2017.0,Sports,Activision,0.01,0.21,0.04,0.24,0.5
193,Minecraft Ultra,X360,2015.0,Shooter,Take-Two Interactive,0.27,0.05,0.23,0.02,0.57
194,Halo Origins,PS3,2015.0,Adventure,Electronic Arts,0.44,0.47,0.31,0.17,1.39
195,Red Dead Redemption Origins,PS5,2020.0,Role-Playing,Take-Two Interactive,0.1,0.11,0.53,0.5,1.24
196,The Legend of Zelda V,Switch,2022.0,Role-Playing,Take-Two Interactive,3.37,0.04,0.27,0.14,3.82
197,God of War Infinite,Switch,2018.0,Role-Playing,Take-Two Interactive,0.21,0.3,0.12,0.27,0.9
198,Mario Kart Origins,X360,2018.0,Adventure,Take-Two Interactive,0.69,0.11,0.31,0.02,1.13
199,Call of Duty Remastered,X360,2022.0,Sports,Sony Computer Entertainment,3.49,0.08,0.08,0.01,3.66
200,Minecraft Ultra,PS3,2020.0,Sports,Activision,0.23,0.2,0.1,0.15,0.68
201,Minecraft Remastered,X360,2021.0,Action,Sony Computer Entertainment,2.47,0.01,0.34,0.16,2.98
202,Mario Kart Remastered,X360,,Adventure,Take-Two Interactive,0.91,0.72,0.31,0.17,2.11
203,Grand Theft Auto Remastered,PS5,2022.0,Sports,Sony Computer Entertainment,0.24,0.19,0.32,0.61,1.36
204,Minecraft Infinite,PC,2017.0,Adventure,Ubisoft,0.17,0.34,0.15,0.18,0.84
205,FIFA Soccer 2022,XOne,2021.0,Role-Playing,Take-Two Interactive,0.13,0.68,0.01,0.13,0.95
206,Minecraft Ultra,XSX,2019.0,Sports,Take-Two Interactive,0.4,0.92,0.56,0.3,2.18
207,Grand Theft Auto Infinite,XOne,2015.0,Action,Activision,0.71,2.32,0.07,0.02,3.12
208,FIFA Soccer 2024,Switch,2021.0,Shooter,Activision,1.93,1.49,0.25,0.12,3.79
209,Forza Horizon Ultra,PS5,,Racing,Activision,2.35,0.47,0.27,0.04,3.13
210,God of War V,X360,2022.0,Adventure,Electronic Arts,0.25,0.16,0.0,0.37,0.78
211,Halo Ultra,X360,2023.0,Platform,Electronic Arts,3.4,0.23,0.39,0.14,4.16
212,Call of Duty Origins,PS5,2016.0,Role-Playing,Take-Two Interactive,3.41,0.17,0.64,0.41,4.63
213,Red Dead Redemption V,PS4,2018.0,Role-Playing,Activision,0.64,0.14,1.21,0.03,2.02
214,FIFA Soccer 2024,PS4,2023.0,Sports,Nintendo,3.1,1.15,1.08,0.01,5.34
215,FIFA Soccer V,PS5,2018.0,Action,Activision,2.41,0.95,0.15,0.12,3.63
216,Grand Theft Auto Infinite,PS4,2021.0,Racing,Activision,1.04,0.36,0.07,0.37,1.84
217,The Legend of Zelda Origins,PC,2015.0,Shooter,Sony Computer Entertainment,0.29,0.6,0.18,0.22,1.29
218,God of War Origins,PS4,2018.0,Platform,Activision,1.16,0.13,0.31,0.05,1.65
219,Call of Duty V,PS3,2023.0,Racing,Ubisoft,1.34,0.21,0.48,0.25,2.28
220,Forza Horizon 2023,XOne,2019.0,Action,Take-Two Interactive,0.63,0.18,0.07,0.0,0.88
221,Red Dead Redemption 2023,PC,2017.0,Adventure,Activision,0.42,0.36,0.33,0.25,1.36
222,Forza Horizon V,Switch,2019.0,Adventure,,1.35,0.89,0.07,0.28,2.59
223,The Legend of Zelda 2022,PC,2020.0,Sports,Ubisoft,0.82,2.35,0.27,0.27,3.71
224,Minecraft 2024,PS5,2023.0,Role-Playing,Ubisoft,0.14,1.43,0.37,0.22,2.16
225,Cyberpunk Ultra,XSX,2018.0,Sports,Activision,0.06,2.47,0.04,0.3,2.87
226,Pokemon Origins,PS4,2017.0,Platform,Ubisoft,0.29,0.1,0.14,0.07,0.6
227,Halo V,PC,2022.0,Racing,Sony Computer Entertainment,2.12,0.51,0.61,0.09,3.33
228,Halo Infinite,PS5,2016.0,Sports,Activision,0.75,1.56,0.03,0.15,2.49
229,Minecraft Ultra,XSX,2020.0,Adventure,Nintendo,3.29,0.33,0.03,0.18,3.83
230,Mario Kart 2023,Switch,2016.0,Platform,Activision,1.07,0.7,0.1,0.6,2.47
231,Red Dead Redemption 2024,PC,2017.0,Platform,Sony Computer Entertainment,0.63,0.65,0.16,0.06,1.5
232,Cyberpunk Remastered,PS4,2016.0,Sports,Ubisoft,1.98,0.36,0.28,0.04,2.66
233,Mario Kart Infinite,PS4,2021.0,Shooter,Electronic Arts,1.73,0.55,0.11,0.04,2.43
234,Pokemon Infinite,XOne,2022.0,Racing,Take-Two Interactive,0.38,0.23,0.29,0.19,1.09
235,Red Dead Redemption V,X360,2016.0,Sports,Take-Two Interactive,0.01,0.52,0.16,0.03,0.72
236,Mario Kart 2024,XSX,2021.0,Racing,Sony Computer Entertainment,0.39,0.7,0.16,0.87,2.12
237,Forza Horizon Remastered,PS3,2019.0,Racing,Activision,1.19,0.3,0.12,0.1,1.71
238,Mario Kart 2023,X360,2023.0,Shooter,Nintendo,0.23,0.03,0.87,0.65,1.78
239,FIFA Soccer Remastered,PS5,2017.0,Sports,Ubisoft,1.5,1.82,0.78,0.12,4.22
240,Minecraft Infinite,XSX,,Sports,Take-Two Interactive,0.54,0.42,0.05,0.64,1.65
241,Pokemon Remastered,XSX,2018.0,Role-Playing,Take-Two Interactive,1.3,0.72,0.63,0.11,2.76
242,Grand Theft Auto Infinite,XOne,2023.0,Sports,Electronic Arts,1.25,0.86,0.29,0.47,2.87
243,Cyberpunk Infinite,XOne,2017.0,Adventure,Ubisoft,2.44,0.71,0.75,0.2,4.1
244,Pokemon Infinite,PS5,2017.0,Shooter,Nintendo,5.56,0.08,0.08,0.52,6.24
245,The Legend of Zelda Infinite,PC,2021.0,Role-Playing,Ubisoft,1.33,0.03,0.71,0.17,2.24
246,Call of Duty Infinite,PS4,2021.0,Action,Take-Two Interactive,0.02,0.25,0.0,0.13,0.4
247,Red Dead Redemption V,PC,2018.0,Platform,Sony Computer Entertainment,0.08,2.76,0.65,0.08,3.57
248,Halo 2022,PS4,2015.0,Role-Playing,Ubisoft,1.63,0.15,0.44,0.35,2.57
249,Forza Horizon 2023,PC,2021.0,Role-Playing,Electronic Arts,0.32,0.37,0.03,0.07,0.79
250,The Legend of Zelda Infinite,PS5,2019.0,Sports,Electronic Arts,0.45,0.57,0.23,0.08,1.33
251,Forza Horizon 2023,PC,2016.0,Adventure,Sony Computer Entertainment,0.58,0.26,0.04,0.43,1.31
252,Cyberpunk 2022,Switch,2018.0,Adventure,Take-Two Interactive,0.7,1.17,0.03,0.37,2.27
253,Red Dead Redemption Origins,PC,2017.0,Platform,Nintendo,3.49,0.71,0.0,0.02,4.22
254,Cyberpunk V,X360,2017.0,Action,Take-Two Interactive,0.12,1.25,0.23,0.09,1.69
255,Forza Horizon 2022,XSX,2023.0,Shooter,Ubisoft,0.21,1.35,0.15,0.69,2.4
256,The Legend of Zelda Infinite,XSX,2017.0,Shooter,Ubisoft,0.02,1.03,0.54,0.13,1.72
257,Minecraft 2023,PS3,2020.0,Shooter,Nintendo,0.91,0.14,0.11,0.58,1.74
258,Forza Horizon V,X360,2019.0,Role-Playing,Electronic Arts,1.06,0.13,0.05,0.0,1.24
