case_id,date,remote_jid,push_name,text_content,reply_to_id
6,2026-08-02 23:11:37,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* 🚑 *Unidad:* Unidad 10

📍 *Ubicación:*
   Costa de canistel 57
   Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón

📝 *Descripción:*
   se esta fugando un gas

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 22/Jul/2026 23:56

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* 🚑 EN CAMINO
🆔 Para actualizar bitácora:
_Bitacora REP-0165: [tu actualización]_",
6,2026-08-02 23:13:32,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* 🚑 *Unidad:* Unidad 10

📍 *Ubicación:*
   Costa de canistel 57
   Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón

📝 *Descripción:*
   se esta fugando un gas

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 22/Jul/2026 23:56

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* 🚑 EN CAMINO
🆔 Para actualizar bitácora:
_Bitacora REP-0165: [tu actualización]_",
6,2026-08-02 23:13:49,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* 🚑 *Unidad:* Unidad 10

📍 *Ubicación:*
   Costa de canistel 57
   Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón

📝 *Descripción:*
   se esta fugando un gas

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 22/Jul/2026 23:56

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* 🚑 EN CAMINO
🆔 Para actualizar bitácora:
_Bitacora REP-0165: [tu actualización]_",
6,2026-08-02 23:26:17,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
⚠️ *Tipo:* 🌳 CAÍDA DE ÁRBOL
🔶 *Prioridad:* LOW
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:*
   Costa de Canistel 48
   Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón

📝 *Descripción:*
   un árbol se cayo y estorba el paso de los peatones

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 02/Aug/2026 23:26

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* ⏳ PENDIENTE
🆔 Para actualizar bitácora:
_Bitacora REP-0001: [tu actualización]_",
6,2026-08-02 23:32:42,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
⚠️ *Tipo:* 🌳 CAÍDA DE ÁRBOL
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:*
   Costa de Canistel 48
   Col. Arboledas San Ramón, Medellín de Bravo

📝 *Descripción:*
   Árbol caído de gran tamaño obstruyendo el paso vehicular.

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 02/Aug/2026 23:32

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* ⏳ PENDIENTE
🆔 Para actualizar bitácora:
_Bitacora REP-0001: [tu actualización]_",
6,2026-08-02 23:35:22,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
⚠️ *Tipo:* 🌳 CAÍDA DE ÁRBOL
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:*
   Costa de Canistel 48
   Col. Arboledas San Ramón, Medellín de Bravo

📝 *Descripción:*
   Árbol caído de gran tamaño obstruyendo la avenida principal.

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 02/Aug/2026 23:35

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* ⏳ PENDIENTE
🆔 Para actualizar bitácora:
_Bitacora REP-0001: [tu actualización]_",
6,2026-08-02 23:36:14,120363409447790752@g.us,Você,"📢 *ALERTA EN CAMINO — UNIDAD Y PERSONAL ASIGNADO* 📢
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
⚠️ *Tipo:* Árbol Caído / Obstrucción de Vía
📍 *Ubicación:* Costa de Canistel 48, Col. Arboledas San Ramón

👷 *Encargado a Cargo:* *Josue Jaziel Delgado Burela*
🚑 *Unidad Despachada:* *204*
⏱️ *Tiempo Estimado de Arribo:* *4*

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🔄 *Estatus:* 🚑 EN CAMINO",
6,2026-08-02 23:49:20,120363409447790752@g.us,Você,"✅ *EMERGENCIA FINALIZADA Y CONCLUIDA* ✅
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0169
⚠️ *Tipo:* Fuga de Gas / Material Peligroso
📍 *Ubicación:* Calle Principal 10, Col. Centro

👷 *Responsable a Cargo:* *Josue Jaziel Delgado Burela*
🚑 *Unidad:* *Josue Jaziel Delgado Burela*
⏱️ *Tiempo Total de Atención:* *0 min*

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus Final:* ✅ RESUELTO / CONCLUIDO",
6,2026-08-02 23:49:30,120363409447790752@g.us,Você,"📢 *ACTUALIZACIÓN DE REPORTE*
━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0170
🔄 *Estatus:* ✅ RESUELTO
🚑 *Unidad:* PC-01
⏱️ *Tiempo estimado:* 10 min

📝 *Cambios:*
• Cambió estatus de 'En Camino / Atendiendo' a 'Finalizado / Resuelto'
• Asignó unidad: 'PC-01'

━━━━━━━━━━━━━━━━━━━━━━━━━
📍 Calle 5 de Mayo, Col. Centro",
6,2026-08-02 23:49:37,120363409447790752@g.us,Você,"🚨 *NUEVA ALERTA DE EMERGENCIA - PROTECCIÓN CIVIL* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
⚠️ *Tipo:* 🌳 CAÍDA DE ÁRBOL
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:*
   Costa de Canistel 48
   Col. Arboledas San Ramón, Medellín de Bravo

📝 *Descripción:*
   Árbol caído obstruyendo el tránsito vehicular.

👤 *Reportó:* Josue Jaziel Delgado Burela
📞 *Teléfono:* 2888893215
🕐 *Fecha:* 02/Aug/2026 23:49

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus:* ⏳ PENDIENTE
🆔 Para actualizar bitácora:
_Bitacora REP-0001: [tu actualización]_",
6,2026-08-02 23:50:05,120363409447790752@g.us,Você,"📢 *ALERTA EN CAMINO — UNIDAD Y PERSONAL ASIGNADO* 📢
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
⚠️ *Tipo:* Árbol Caído / Obstrucción de Vía
📍 *Ubicación:* Costa de Canistel 48, Col. Arboledas San Ramón

👷 *Encargado a Cargo:* *Josue Jaziel Delgado Burela*
🚑 *Unidad Despachada:* *204*
⏱️ *Tiempo Estimado de Arribo:* *3*

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🔄 *Estatus:* 🚑 EN CAMINO",
6,2026-08-02 23:53:58,120363409447790752@g.us,Você,"✅ *EMERGENCIA FINALIZADA Y CONCLUIDA* ✅
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
⚠️ *Tipo:* Árbol Caído / Obstrucción de Vía
📍 *Ubicación:* Costa de Canistel 48, Col. Arboledas San Ramón

👷 *Responsable a Cargo:* *Josue Jaziel Delgado Burela*
🚑 *Unidad:* *204*
⏱️ *Tiempo Total de Atención:* *4 min*

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Estatus Final:* ✅ RESUELTO / CONCLUIDO",
7,2026-08-02 23:06:42,199557250064521@lid,Você,"🚨 *ALERTA OPERATIVA — TURNO ACTIVO DE HOY* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🛡️ *Guardia:* Guardia A (24 Hrs)

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA

📍 *Ubicación:* Costa de canistel 57, Col. Fraccionamiento Arboledas San Ramón
📝 *Descripción:* se esta fugando un gas
👤 *Reportó:* Josue Jaziel Delgado Burela (2888893215)",
7,2026-08-02 23:11:19,199557250064521@lid,Você,🚨 PROBANDO MENSAJE TEXTO A 522888893215,
7,2026-08-02 23:11:19,199557250064521@lid,Você,🚨 PROBANDO MENSAJE TEXTO A 5212888893215,
7,2026-08-02 23:11:38,199557250064521@lid,Você,"🚨 *ALERTA OPERATIVA INDIVIDUAL — TURNO ACTIVO DE HOY* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🛡️ *Guardia:* Guardia A (24 Hrs)

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:* Costa de canistel 57, Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón
📝 *Descripción:* se esta fugando un gas
👤 *Reportó:* Josue Jaziel Delgado Burela (2888893215)
🕐 *Fecha:* 22/Jul/2026 23:56

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Notificación directa por pertenecer al turno activo del día.*",
7,2026-08-02 23:13:33,199557250064521@lid,Você,"🚨 *ALERTA OPERATIVA INDIVIDUAL — TURNO ACTIVO DE HOY* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🛡️ *Guardia:* Guardia A (24 Hrs)

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:* Costa de canistel 57, Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón
📝 *Descripción:* se esta fugando un gas
👤 *Reportó:* Josue Jaziel Delgado Burela (2888893215)
🕐 *Fecha:* 22/Jul/2026 23:56

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Toca la opción de abajo en el siguiente mensaje para responder si puedes atender.*",
7,2026-08-02 23:13:49,199557250064521@lid,Você,"🚨 *ALERTA OPERATIVA INDIVIDUAL — TURNO ACTIVO DE HOY* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🛡️ *Guardia:* Guardia A (24 Hrs)

📋 *Folio:* REP-0165
⚠️ *Tipo:* ⛽ FUGA DE GAS
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:* Costa de canistel 57, Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón
📝 *Descripción:* se esta fugando un gas
👤 *Reportó:* Josue Jaziel Delgado Burela (2888893215)
🕐 *Fecha:* 22/Jul/2026 23:56

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Toca la opción de abajo en el siguiente mensaje para responder si puedes atender.*",
7,2026-08-02 23:26:18,199557250064521@lid,Você,"🚨 *ALERTA OPERATIVA INDIVIDUAL — TURNO ACTIVO DE HOY* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🛡️ *Guardia:* Guardia A (24 Hrs)

📋 *Folio:* REP-0001
⚠️ *Tipo:* 🌳 CAÍDA DE ÁRBOL
🔶 *Prioridad:* LOW
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:* Costa de Canistel 48, Col. Fraccionamiento Arboledas San Ramón, Fraccionamiento Arboledas San Ramón
📝 *Descripción:* un árbol se cayo y estorba el paso de los peatones
👤 *Reportó:* Josue Jaziel Delgado Burela (2888893215)
🕐 *Fecha:* 02/Aug/2026 23:26

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Toca la opción de abajo en el siguiente mensaje para responder si puedes atender.*",
7,2026-08-02 23:32:42,199557250064521@lid,Você,"🚨 *ALERTA OPERATIVA INDIVIDUAL — TURNO ACTIVO DE HOY* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🛡️ *Guardia:* Guardia A (24 Hrs)

📋 *Folio:* REP-0001
⚠️ *Tipo:* 🌳 CAÍDA DE ÁRBOL
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:* Costa de Canistel 48, Col. Arboledas San Ramón, Medellín de Bravo
📝 *Descripción:* Árbol caído de gran tamaño obstruyendo el paso vehicular.
👤 *Reportó:* Josue Jaziel Delgado Burela (2888893215)
🕐 *Fecha:* 02/Aug/2026 23:32

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Toca la opción de abajo en el siguiente mensaje para responder si puedes atender.*",
7,2026-08-02 23:34:47,199557250064521@lid,Você,"✅ *¡HAS SIDO SELECCIONADO PARA ATENDER EL REPORTE REP-0001!*
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

Hola *Josue Jaziel Delgado Burela*, para completar el despacho y notificar al grupo de alertas, responde las siguientes 2 preguntas:

1️⃣ *¿En qué unidad o vehículo acudirás a la emergencia?*
_(Escribe el nombre o número de unidad, ej: Ambulancia 02, PC-01, Pick-up Rescate, etc.)_",
7,2026-08-02 23:35:22,199557250064521@lid,Você,"🚨 *ALERTA OPERATIVA INDIVIDUAL — TURNO ACTIVO DE HOY* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🛡️ *Guardia:* Guardia A (24 Hrs)

📋 *Folio:* REP-0001
⚠️ *Tipo:* 🌳 CAÍDA DE ÁRBOL
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:* Costa de Canistel 48, Col. Arboledas San Ramón, Medellín de Bravo
📝 *Descripción:* Árbol caído de gran tamaño obstruyendo la avenida principal.
👤 *Reportó:* Josue Jaziel Delgado Burela (2888893215)
🕐 *Fecha:* 02/Aug/2026 23:35

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Toca la opción de abajo en el siguiente mensaje para responder si puedes atender.*",
7,2026-08-02 23:35:39,199557250064521@lid,Você,"✅ *¡HAS SIDO SELECCIONADO PARA ATENDER EL REPORTE REP-0001!*
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

Hola *Josue Jaziel Delgado Burela*, para completar el despacho y notificar al grupo de alertas, responde las siguientes 2 preguntas:

1️⃣ *¿En qué unidad o vehículo acudirás a la emergencia?*
_(Escribe el nombre o número de unidad, ej: Ambulancia 02, PC-01, Pick-up Rescate, etc.)_",
7,2026-08-02 23:36:06,199557250064521@lid,Você,"👍 *Unidad registrada:* 204

2️⃣ *¿Cuál es tu Tiempo Estimado de Arribo / Atención al punto?*
_(Escribe el tiempo estimado, ej: 10 minutos, 15 min, etc.)_",
7,2026-08-02 23:36:06,199557250064521@lid,199557250064521,204,
7,2026-08-02 23:36:13,199557250064521@lid,Você,"🚀 *¡DESPACHO COMPLETADO Y REGISTRADO!* 🚀
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
👷 *Encargado:* Josue Jaziel Delgado Burela
🚑 *Unidad:* 204
⏱️ *Tiempo Estimado:* 4

📌 *Estatus Actualizado:* 🚑 EN CAMINO

¡Procede con precaución! Puedes enviar avances a la bitácora escribiendo:
_Bitacora REP-0001: Arribando al punto_",
7,2026-08-02 23:36:13,199557250064521@lid,199557250064521,4,
7,2026-08-02 23:36:53,199557250064521@lid,199557250064521,Llegando al punto en breve 👍,
7,2026-08-02 23:46:36,199557250064521@lid,199557250064521,Arribando el área y visualizando el estado del problema,
7,2026-08-02 23:47:23,199557250064521@lid,199557250064521,ALERTA FINALIZADA CON EXITO,
7,2026-08-02 23:49:20,199557250064521@lid,Você,"🎉 *¡ALERTA FINALIZADA CON ÉXITO!* 🎉
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0169
👷 *Atendido por:* Josue Jaziel Delgado Burela
⏱️ *Tiempo de Atención:* 0 min

📌 *Estatus:* ✅ RESUELTO Y CERRADO
¡Excelente trabajo operativa!",
7,2026-08-02 23:49:38,199557250064521@lid,Você,"🚨 *ALERTA OPERATIVA INDIVIDUAL — TURNO ACTIVO DE HOY* 🚨
━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🛡️ *Guardia:* Guardia A (24 Hrs)

📋 *Folio:* REP-0001
⚠️ *Tipo:* 🌳 CAÍDA DE ÁRBOL
🔶 *Prioridad:* 🔴 ALTA
👤 *Encargado:* ⚠️ *SIN PERSONAL A CARGO (PENDIENTE)*

📍 *Ubicación:* Costa de Canistel 48, Col. Arboledas San Ramón, Medellín de Bravo
📝 *Descripción:* Árbol caído obstruyendo el tránsito vehicular.
👤 *Reportó:* Josue Jaziel Delgado Burela (2888893215)
🕐 *Fecha:* 02/Aug/2026 23:49

━━━━━━━━━━━━━━━━━━━━━━━━━━━━
📌 *Toca la opción de abajo en el siguiente mensaje para responder si puedes atender.*",
7,2026-08-02 23:49:51,199557250064521@lid,Você,"✅ *¡HAS SIDO SELECCIONADO PARA ATENDER EL REPORTE REP-0001!*
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

Hola *Josue Jaziel Delgado Burela*, para completar el despacho y notificar al grupo de alertas, responde las siguientes 2 preguntas:

1️⃣ *¿En qué unidad o vehículo acudirás a la emergencia?*
_(Escribe el nombre o número de unidad, ej: Ambulancia 02, PC-01, Pick-up Rescate, etc.)_",
7,2026-08-02 23:50:00,199557250064521@lid,Você,"👍 *Unidad registrada:* 204

2️⃣ *¿Cuál es tu Tiempo Estimado de Arribo / Atención al punto?*
_(Escribe el tiempo estimado, ej: 10 minutos, 15 min, etc.)_",
7,2026-08-02 23:50:00,199557250064521@lid,199557250064521,204,
7,2026-08-02 23:50:04,199557250064521@lid,199557250064521,3,
7,2026-08-02 23:50:05,199557250064521@lid,Você,"🚀 *¡DESPACHO COMPLETADO Y REGISTRADO!* 🚀
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
👷 *Encargado:* Josue Jaziel Delgado Burela
🚑 *Unidad:* 204
⏱️ *Tiempo Estimado:* 3

📌 *Estatus Actualizado:* 🚑 EN CAMINO

¡Procede con precaución! Puedes enviar avances a la bitácora escribiendo:
_Bitacora REP-0001: Arribando al punto_",
7,2026-08-02 23:50:35,199557250064521@lid,199557250064521,Arribando el punto del problema,
7,2026-08-02 23:52:46,199557250064521@lid,Você,"📝 *Bitácora Actualizada (REP-0001)*

Se añadió a la bitácora:
_""Arribando el punto del problema""_",
7,2026-08-02 23:53:29,199557250064521@lid,199557250064521,Actualización de bitácora prueba 2,
7,2026-08-02 23:53:30,199557250064521@lid,Você,"📝 *Bitácora Actualizada (REP-0001)*

Se añadió a la bitácora:
_""Actualización de bitácora prueba 2""_",
7,2026-08-02 23:53:57,199557250064521@lid,Você,"🎉 *¡ALERTA FINALIZADA CON ÉXITO!* 🎉
━━━━━━━━━━━━━━━━━━━━━━━━━━━━

📋 *Folio:* REP-0001
👷 *Atendido por:* Josue Jaziel Delgado Burela
⏱️ *Tiempo de Atención:* 4 min

📌 *Estatus:* ✅ RESUELTO Y CERRADO
¡Excelente trabajo operativa!",
7,2026-08-02 23:53:57,199557250064521@lid,199557250064521,ALERTA FINALIZADA CON EXITO,
8,2026-08-03 19:54:16,67440029520080@lid,67440029520080,hola buenas tardes,
8,2026-08-03 19:54:24,67440029520080@lid,67440029520080,para solicitar un traslado de la esperanza,
8,2026-08-03 19:54:27,67440029520080@lid,67440029520080,a la cruz roja,
8,2026-08-03 19:54:52,67440029520080@lid,67440029520080,"ya que mi abuela está muy grave le dio una embolia, y no puede caminar",
8,2026-08-03 19:55:00,67440029520080@lid,67440029520080,ni moverse,
8,2026-08-03 19:56:48,67440029520080@lid,67440029520080,🙏🏻🙏🏻,
9,2026-08-03 22:43:47,126040127086630@lid,126040127086630,buenas tardes de hatzalah,
9,2026-08-03 22:44:44,126040127086630@lid,126040127086630,5636940335,
9,2026-08-03 22:56:22,126040127086630@lid,126040127086630,compañero me podrias avisar cuando llegue la ambulancia al lugar del accdiente,
9,2026-08-04 00:08:01,126040127086630@lid,Você,Una disculpa compañero no escuché el teléfono llegaron al lugar la unidad 208 al mandó del director y solo se encontraba el papá y tres menores uno más y la mamá se trasladaron por sus medios al hospital más cercano,3EB0265E107437C3E5D0A9
9,2026-08-04 00:09:34,126040127086630@lid,Você,Exactamente a las 16:57 estaban en el punto,3EB0265E107437C3E5D0A9
9,2026-08-04 01:16:30,126040127086630@lid,126040127086630,muchas gracias por la atencion,
12,2026-08-04 17:26:20,216359027896444@lid,Você,Servicio,
12,2026-08-04 18:11:53,216359027896444@lid,Você,5657647256,
12,2026-08-04 18:59:14,216359027896444@lid,Você,229 210 4676,
12,2026-08-04 19:10:27,216359027896444@lid,Você,2293063355,
12,2026-08-04 20:32:44,216359027896444@lid,Você,2297738566,
12,2026-08-04 21:03:03,216359027896444@lid,Você,Alta de la paciente Irene Linares Zapot,
12,2026-08-04 22:08:36,216359027896444@lid,216359027896444,"Unidad 098 traslada a masculino a la clinica #61 del IMSS.
Posterior datos.",
